epoch,x_label,phase,layer,avg_ms
1,fwd-L1,fwd,1,11.175
1,fwd-L2,fwd,2,11.021
1,fwd-L3,fwd,3,11.031
1,fwd-L4,fwd,4,11.134
1,fwd-L5,fwd,5,11.216
1,fwd-L6,fwd,6,11.239
1,fwd-L7,fwd,7,11.265
1,fwd-L8,fwd,8,11.255
1,fwd-L9,fwd,9,11.258
1,fwd-L10,fwd,10,11.289
1,fwd-L11,fwd,11,11.250
1,fwd-L12,fwd,12,11.214
1,bwd-L12,bwd,12,21.706
1,bwd-L11,bwd,11,21.569
1,bwd-L10,bwd,10,21.505
1,bwd-L9,bwd,9,22.090
1,bwd-L8,bwd,8,21.693
1,bwd-L7,bwd,7,21.546
1,bwd-L6,bwd,6,21.568
1,bwd-L5,bwd,5,21.583
1,bwd-L4,bwd,4,21.616
1,bwd-L3,bwd,3,21.716
1,bwd-L2,bwd,2,21.746
1,bwd-L1,bwd,1,21.779
2,fwd-L1,fwd,1,11.349
2,fwd-L2,fwd,2,11.095
2,fwd-L3,fwd,3,11.108
2,fwd-L4,fwd,4,11.212
2,fwd-L5,fwd,5,11.266
2,fwd-L6,fwd,6,11.279
2,fwd-L7,fwd,7,11.284
2,fwd-L8,fwd,8,11.281
2,fwd-L9,fwd,9,11.277
2,fwd-L10,fwd,10,11.279
2,fwd-L11,fwd,11,11.245
2,fwd-L12,fwd,12,11.228
2,bwd-L12,bwd,12,21.647
2,bwd-L11,bwd,11,21.532
2,bwd-L10,bwd,10,21.547
2,bwd-L9,bwd,9,22.474
2,bwd-L8,bwd,8,21.627
2,bwd-L7,bwd,7,21.701
2,bwd-L6,bwd,6,21.731
2,bwd-L5,bwd,5,21.739
2,bwd-L4,bwd,4,21.774
2,bwd-L3,bwd,3,21.813
2,bwd-L2,bwd,2,21.852
2,bwd-L1,bwd,1,21.907
